DATE,PWHEAMTUSDM
1980-01-01,175.634750366211
1980-02-01,172.695236206055
1980-03-01,163.509323120117
1980-04-01,156.528030395508
1980-05-01,161.304702758789
1980-06-01,157.630340576172
1980-07-01,168.653442382813
1980-08-01,171.225494384766
1980-09-01,179.676528930664
1980-10-01,188.127578735352
1980-11-01,195.108871459961
1980-12-01,182.616027832031
1981-01-01,189.597320556641
1981-02-01,181.513717651367
1981-03-01,175.267303466797
1981-04-01,180.411407470703
1981-05-01,171.59294128418
1981-06-01,168.653442382813
1981-07-01,167.918579101563
1981-08-01,170.123184204102
1981-09-01,171.225494384766
1981-10-01,168.653442382813
1981-11-01,178.574234008789
1981-12-01,176.002166748047
1982-01-01,173.062683105469
1982-02-01,170.858062744141
1982-03-01,168.653442382813
1982-04-01,169.755737304688
1982-05-01,167.551132202148
1982-06-01,155.793151855469
1982-07-01,151.751358032227
1982-08-01,152.486221313477
1982-09-01,152.853652954102
1982-10-01,146.607223510742
1982-11-01,155.05827331543
1982-12-01,159.8349609375
1983-01-01,164.979064941406
1983-02-01,164.244186401367
1983-03-01,166.08137512207
1983-04-01,167.183700561523
1983-05-01,160.202392578125
1983-06-01,151.751358032227
1983-07-01,147.34211730957
1983-08-01,152.486221313477
1983-09-01,156.528030395508
1983-10-01,152.853652954102
1983-11-01,151.751358032227
1983-12-01,153.588531494141
1984-01-01,152.853652954102
1984-02-01,150.649032592773
1984-03-01,153.955978393555
1984-04-01,157.262908935547
1984-05-01,153.955978393555
1984-06-01,149.914169311523
1984-07-01,146.974670410156
1984-08-01,152.486221313477
1984-09-01,155.05827331543
1984-10-01,152.853652954102
1984-11-01,152.486221313477
1984-12-01,149.546737670898
1985-01-01,149.179290771484
1985-02-01,147.34211730957
1985-03-01,145.137481689453
1985-04-01,143.667739868164
1985-05-01,136.31901550293
1985-06-01,134.114395141602
1985-07-01,128.602844238281
1985-08-01,123.091285705566
1985-09-01,125.295906066895
1985-10-01,127.500518798828
1985-11-01,132.644653320313
1985-12-01,137.05387878418
1986-01-01,132.277206420898
1986-02-01,129.705154418945
1986-03-01,134.481826782227
1986-04-01,132.644653320313
1986-05-01,119.416923522949
1986-06-01,105.821769714355
1986-07-01,101.779960632324
1986-08-01,102.147407531738
1986-09-01,103.617149353027
1986-10-01,104.719451904297
1986-11-01,105.086898803711
1986-12-01,107.291511535645
1987-01-01,109.128684997559
1987-02-01,112.068199157715
1987-03-01,115.375114440918
1987-04-01,113.17049407959
1987-05-01,119.049476623535
1987-06-01,108.761260986328
1987-07-01,104.719451904297
1987-08-01,106.924072265625
1987-09-01,112.068199157715
1987-10-01,113.905372619629
1987-11-01,115.007690429688
1987-12-01,124.56103515625
1988-01-01,128.602844238281
1988-02-01,131.542327880859
1988-03-01,124.92847442627
1988-04-01,126.765647888184
1988-05-01,128.970291137695
1988-06-01,149.914169311523
1988-07-01,149.546737670898
1988-08-01,149.914169311523
1988-09-01,159.467529296875
1988-10-01,162.039566040039
1988-11-01,163.876770019531
1988-12-01,166.816253662109
1989-01-01,173.797546386719
1989-02-01,172.057052612305
1989-03-01,178.206787109375
1989-04-01,174.532424926758
1989-05-01,176.369613647461
1989-06-01,168.653442382813
1989-07-01,166.816253662109
1989-08-01,164.244186401367
1989-09-01,163.509323120117
1989-10-01,164.611633300781
1989-11-01,163.509323120117
1989-12-01,164.611633300781
1990-01-01,167.918579101563
1990-02-01,160.937271118164
1990-03-01,156.528030395508
1990-04-01,159.467529296875
1990-05-01,149.179290771484
1990-06-01,135.584136962891
1990-07-01,124.92847442627
1990-08-01,116.844856262207
1990-09-01,114.272811889648
1990-10-01,114.640243530273
1990-11-01,112.803070068359
1990-12-01,113.17049407959
1991-01-01,111.333320617676
1991-02-01,113.905372619629
1991-03-01,119.416923522949
1991-04-01,120.886665344238
1991-05-01,122.036750793457
1991-06-01,120.151794433594
1991-07-01,118.209587097168
1991-08-01,125.326843261719
1991-09-01,135.37287902832
1991-10-01,146.887191772461
1991-11-01,149.536529541016
1991-12-01,160.836669921875
1992-01-01,169.954772949219
1992-02-01,177.130599975586
1992-03-01,169.350738525391
1992-04-01,159.931198120117
1992-05-01,149.689117431641
1992-06-01,148.665725708008
1992-07-01,136.31901550293
1992-08-01,128.168487548828
1992-09-01,138.735794067383
1992-10-01,140.581283569336
1992-11-01,147.574188232422
1992-12-01,147.827651977539
1993-01-01,155.650772094727
1993-02-01,148.884384155273
1993-03-01,147.899658203125
1993-04-01,141.992401123047
1993-05-01,136.580810546875
1993-06-01,121.81778717041
1993-07-01,127.522399902344
1993-08-01,129.797012329102
1993-09-01,131.294311523438
1993-10-01,135.956161499023
1993-11-01,146.501602172852
1993-12-01,158.645385742188
1994-01-01,153.207977294922
1994-02-01,147.037521362305
1994-03-01,141.04377746582
1994-04-01,140.452667236328
1994-05-01,140.147354125977
1994-06-01,139.304428100586
1994-07-01,137.600448608398
1994-08-01,146.024124145508
1994-09-01,158.785140991211
1994-10-01,167.188064575195
1994-11-01,161.986770629883
1994-12-01,164.62174987793
1995-01-01,156.213088989258
1995-02-01,154.420104980469
1995-03-01,150.385986328125
1995-04-01,148.978652954102
1995-05-01,158.611557006836
1995-06-01,169.98078918457
1995-07-01,190.08528137207
1995-08-01,184.393295288086
1995-09-01,193.671279907227
1995-10-01,203.791748046875
1995-11-01,204.067321777344
1995-12-01,208.924942016602
1996-01-01,196.428301666667
1996-02-01,206.166963968254
1996-03-01,205.257120793651
1996-04-01,239.516215714286
1996-05-01,248.59486826087
1996-06-01,215.2260275
